date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:15:10	49693/49693	---MCZ	200	added ('OK')	text/html	etag:W/%2256e1de7f-c21d%22	https://agileui.com/demo/monarch/demo/admin-angular/index.html	C:/Users/Luis%20Puc/Desktop/Prueba/PaginaWeb/agileui.com/demo/monarch/demo/admin-angular/index.html	(from )
18:15:11	69/69	---MCZ	200	added ('OK')	text/plain	date:Fri,%2004%20Nov%202016%2000:15:14%20GMT	https://agileui.com/robots.txt		(from )
18:15:11	2512/2512	---M--	200	added ('OK')	image/png	etag:%2256ddbd8b-9d0%22	https://agileui.com/demo/monarch/assets/images/icons/apple-touch-icon-144-precomposed.png	C:/Users/Luis%20Puc/Desktop/Prueba/PaginaWeb/agileui.com/demo/monarch/assets/images/icons/apple-touch-icon-144-precomposed.png	(from https://agileui.com/demo/monarch/demo/admin-angular/index.html)
18:15:11	2107/2107	---M--	200	added ('OK')	image/png	etag:%2256ddbd8b-83b%22	https://agileui.com/demo/monarch/assets/images/icons/apple-touch-icon-114-precomposed.png	C:/Users/Luis%20Puc/Desktop/Prueba/PaginaWeb/agileui.com/demo/monarch/assets/images/icons/apple-touch-icon-114-precomposed.png	(from https://agileui.com/demo/monarch/demo/admin-angular/index.html)
18:15:11	1740/1740	---M--	200	added ('OK')	image/png	etag:%2256ddbd8c-6cc%22	https://agileui.com/demo/monarch/assets/images/icons/apple-touch-icon-72-precomposed.png	C:/Users/Luis%20Puc/Desktop/Prueba/PaginaWeb/agileui.com/demo/monarch/assets/images/icons/apple-touch-icon-72-precomposed.png	(from https://agileui.com/demo/monarch/demo/admin-angular/index.html)
18:15:11	1552/1552	---M--	200	added ('OK')	image/png	etag:%2256ddbd8c-610%22	https://agileui.com/demo/monarch/assets/images/icons/apple-touch-icon-57-precomposed.png	C:/Users/Luis%20Puc/Desktop/Prueba/PaginaWeb/agileui.com/demo/monarch/assets/images/icons/apple-touch-icon-57-precomposed.png	(from https://agileui.com/demo/monarch/demo/admin-angular/index.html)
18:15:11	1255/1255	---M--	200	added ('OK')	image/png	etag:%2256ddbd8d-4e7%22	https://agileui.com/demo/monarch/assets/images/icons/favicon.png	C:/Users/Luis%20Puc/Desktop/Prueba/PaginaWeb/agileui.com/demo/monarch/assets/images/icons/favicon.png	(from https://agileui.com/demo/monarch/demo/admin-angular/index.html)
18:15:12	488481/488481	---MCZ	200	added ('OK')	text/css	etag:W/%2256ddb133-77421%22	https://agileui.com/demo/monarch/assets-minified/admin-all-demo.css	C:/Users/Luis%20Puc/Desktop/Prueba/PaginaWeb/agileui.com/demo/monarch/assets-minified/admin-all-demo.css	(from https://agileui.com/demo/monarch/demo/admin-angular/index.html)
18:15:12	117231/117231	---MCZ	200	added ('OK')	application/javascript	etag:W/%2256ddb138-1c9ef%22	https://agileui.com/demo/monarch/assets-minified/js-core.js	C:/Users/Luis%20Puc/Desktop/Prueba/PaginaWeb/agileui.com/demo/monarch/assets-minified/js-core.js	(from https://agileui.com/demo/monarch/demo/admin-angular/index.html)
18:15:13	32505/32505	---MC-	200	added ('OK')	text/javascript	date:Sun,%2006%20Dec%202015%2019:30:07%20GMT	https://ajax.googleapis.com/ajax/libs/angularjs/1.2.13/angular-route.js	C:/Users/Luis%20Puc/Desktop/Prueba/PaginaWeb/ajax.googleapis.com/ajax/libs/angularjs/1.2.13/angular-route.js	(from https://agileui.com/demo/monarch/demo/admin-angular/index.html)
18:15:13	737843/737843	---MCZ	200	added ('OK')	application/x-javascript	date:Thu,%2001%20Oct%202015%2000:11:14%20GMT	https://code.angularjs.org/1.2.13/angular.js	C:/Users/Luis%20Puc/Desktop/Prueba/PaginaWeb/code.angularjs.org/1.2.13/angular.js	(from https://agileui.com/demo/monarch/demo/admin-angular/index.html)
18:15:13	73299/73299	---MC-	200	added ('OK')	text/javascript	date:Sun,%2006%20Dec%202015%2019:30:07%20GMT	https://ajax.googleapis.com/ajax/libs/angularjs/1.2.13/angular-animate.js	C:/Users/Luis%20Puc/Desktop/Prueba/PaginaWeb/ajax.googleapis.com/ajax/libs/angularjs/1.2.13/angular-animate.js	(from https://agileui.com/demo/monarch/demo/admin-angular/index.html)
18:15:14	15603/15603	---MCZ	200	added ('OK')	application/javascript	etag:W/%2256ddb4d6-3cf3%22	https://agileui.com/demo/monarch/assets/angular/app.js	C:/Users/Luis%20Puc/Desktop/Prueba/PaginaWeb/agileui.com/demo/monarch/assets/angular/app.js	(from https://agileui.com/demo/monarch/demo/admin-angular/index.html)
18:15:14	966/966	---MCZ	200	added ('OK')	text/css	etag:W/%2256ddb4d6-3c6%22	https://agileui.com/demo/monarch/assets/angular/page-animations.css	C:/Users/Luis%20Puc/Desktop/Prueba/PaginaWeb/agileui.com/demo/monarch/assets/angular/page-animations.css	(from https://agileui.com/demo/monarch/demo/admin-angular/index.html)
18:15:14	6133/6133	---M--	200	added ('OK')	image/jpeg	etag:%2256ddb4f2-17f5%22	https://agileui.com/demo/monarch/assets/image-resources/gravatar.jpg	C:/Users/Luis%20Puc/Desktop/Prueba/PaginaWeb/agileui.com/demo/monarch/assets/image-resources/gravatar.jpg	(from https://agileui.com/demo/monarch/demo/admin-angular/index.html)
18:15:14	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2004%20Nov%202016%2000:15:17%20GMT	https://agileui.com/demo/monarch/demo/admin-angular/lockscreen-3.html	C:/Users/Luis%20Puc/Desktop/Prueba/PaginaWeb/agileui.com/demo/monarch/demo/admin-angular/lockscreen-3.html	(from https://agileui.com/demo/monarch/demo/admin-angular/index.html)
18:15:19	67079/67079	---MCZ	200	added ('OK')	application/javascript	etag:W/%2256ddb133-10607%22	https://agileui.com/demo/monarch/assets-minified/admin-all-demo.js	C:/Users/Luis%20Puc/Desktop/Prueba/PaginaWeb/agileui.com/demo/monarch/assets-minified/admin-all-demo.js	(from https://agileui.com/demo/monarch/demo/admin-angular/index.html)
18:15:21	446678/446678	---M--	200	added ('OK')	image/jpeg	etag:%2256ddb566-6d0d6%22	https://agileui.com/demo/monarch/image-resources/blurred-bg/blurred-bg-1.jpg	C:/Users/Luis%20Puc/Desktop/Prueba/PaginaWeb/agileui.com/demo/monarch/image-resources/blurred-bg/blurred-bg-1.jpg	(from https://agileui.com/demo/monarch/assets-minified/admin-all-demo.css)
18:15:21	520813/520813	---M--	200	added ('OK')	image/jpeg	etag:%2256ddb56b-7f26d%22	https://agileui.com/demo/monarch/image-resources/blurred-bg/blurred-bg-2.jpg	C:/Users/Luis%20Puc/Desktop/Prueba/PaginaWeb/agileui.com/demo/monarch/image-resources/blurred-bg/blurred-bg-2.jpg	(from https://agileui.com/demo/monarch/assets-minified/admin-all-demo.css)
18:15:23	562583/562583	---M--	200	added ('OK')	image/jpeg	etag:%2256ddb56c-89597%22	https://agileui.com/demo/monarch/image-resources/blurred-bg/blurred-bg-4.jpg	C:/Users/Luis%20Puc/Desktop/Prueba/PaginaWeb/agileui.com/demo/monarch/image-resources/blurred-bg/blurred-bg-4.jpg	(from https://agileui.com/demo/monarch/assets-minified/admin-all-demo.css)
18:15:23	548084/548084	---M--	200	added ('OK')	image/jpeg	etag:%2256ddb56d-85cf4%22	https://agileui.com/demo/monarch/image-resources/blurred-bg/blurred-bg-5.jpg	C:/Users/Luis%20Puc/Desktop/Prueba/PaginaWeb/agileui.com/demo/monarch/image-resources/blurred-bg/blurred-bg-5.jpg	(from https://agileui.com/demo/monarch/assets-minified/admin-all-demo.css)
18:15:24	586785/586785	---M--	200	added ('OK')	image/jpeg	etag:%2256ddb56e-8f421%22	https://agileui.com/demo/monarch/image-resources/blurred-bg/blurred-bg-7.jpg	C:/Users/Luis%20Puc/Desktop/Prueba/PaginaWeb/agileui.com/demo/monarch/image-resources/blurred-bg/blurred-bg-7.jpg	(from https://agileui.com/demo/monarch/assets-minified/admin-all-demo.css)
18:15:24	279622/279622	---M--	200	added ('OK')	image/jpeg	etag:%2256ddb56f-44446%22	https://agileui.com/demo/monarch/image-resources/blurred-bg/blurred-bg-9.jpg	C:/Users/Luis%20Puc/Desktop/Prueba/PaginaWeb/agileui.com/demo/monarch/image-resources/blurred-bg/blurred-bg-9.jpg	(from https://agileui.com/demo/monarch/assets-minified/admin-all-demo.css)
18:15:24	503845/503845	---M--	200	added ('OK')	image/jpeg	etag:%2256ddb56b-7b025%22	https://agileui.com/demo/monarch/image-resources/blurred-bg/blurred-bg-3.jpg	C:/Users/Luis%20Puc/Desktop/Prueba/PaginaWeb/agileui.com/demo/monarch/image-resources/blurred-bg/blurred-bg-3.jpg	(from https://agileui.com/demo/monarch/assets-minified/admin-all-demo.css)
18:15:25	250936/250936	---M--	200	added ('OK')	image/jpeg	etag:%2256ddb566-3d438%22	https://agileui.com/demo/monarch/image-resources/blurred-bg/blurred-bg-10.jpg	C:/Users/Luis%20Puc/Desktop/Prueba/PaginaWeb/agileui.com/demo/monarch/image-resources/blurred-bg/blurred-bg-10.jpg	(from https://agileui.com/demo/monarch/assets-minified/admin-all-demo.css)
18:15:25	647844/647844	---M--	200	added ('OK')	image/jpeg	etag:%2256ddb56f-9e2a4%22	https://agileui.com/demo/monarch/image-resources/blurred-bg/blurred-bg-8.jpg	C:/Users/Luis%20Puc/Desktop/Prueba/PaginaWeb/agileui.com/demo/monarch/image-resources/blurred-bg/blurred-bg-8.jpg	(from https://agileui.com/demo/monarch/assets-minified/admin-all-demo.css)
18:15:26	770959/770959	---M--	200	added ('OK')	image/jpeg	etag:%2256ddb56e-bc38f%22	https://agileui.com/demo/monarch/image-resources/blurred-bg/blurred-bg-6.jpg	C:/Users/Luis%20Puc/Desktop/Prueba/PaginaWeb/agileui.com/demo/monarch/image-resources/blurred-bg/blurred-bg-6.jpg	(from https://agileui.com/demo/monarch/assets-minified/admin-all-demo.css)
18:15:26	519777/519777	---M--	200	added ('OK')	image/jpeg	etag:%2256ddb568-7ee61%22	https://agileui.com/demo/monarch/image-resources/blurred-bg/blurred-bg-12.jpg	C:/Users/Luis%20Puc/Desktop/Prueba/PaginaWeb/agileui.com/demo/monarch/image-resources/blurred-bg/blurred-bg-12.jpg	(from https://agileui.com/demo/monarch/assets-minified/admin-all-demo.css)
18:15:28	537340/537340	---M--	200	added ('OK')	image/jpeg	etag:%2256ddb568-832fc%22	https://agileui.com/demo/monarch/image-resources/blurred-bg/blurred-bg-13.jpg	C:/Users/Luis%20Puc/Desktop/Prueba/PaginaWeb/agileui.com/demo/monarch/image-resources/blurred-bg/blurred-bg-13.jpg	(from https://agileui.com/demo/monarch/assets-minified/admin-all-demo.css)
